Sample	MSE
PRISM|7408	0.0003687067342510308
PRISM|7421	0.00021846897693685575
PRISM|7744	0.00030411070376865984
PRISM|7855	0.00017044624707824744
PRISM|7860	0.00021150527140211334
PRISM|7897	0.0003934482635806186
PRISM|7908	0.0003058497921276803
PRISM|7911	0.0003289125709989174
PRISM|7947	0.001100876660090825
PRISM|8226	0.00027241411036154625
PRISM|8264	0.001875809987575309
PRISM|8361	0.0005169623754378349
PRISM|8464	0.0015909263759492267
PRISM|8537	0.0010670359766545877
PRISM|8565	0.0015444030573208763
PRISM|8573	0.0004723361950018556
PRISM|8605	0.0003704039223098968
PRISM|8629	0.0032498103030075263
PRISM|8692	0.00012610916676190713
PRISM|8735	0.000324749944299433
PRISM|8746	0.0024097211763338135
PRISM|8754	0.00010242973905252574
PRISM|8758	0.0010591961741759277
PRISM|8784	0.00023099768163113387
PRISM|8803	0.00029210153286530924
PRISM|8849	0.0016011807418578345
PRISM|8878	0.00027033195326283494
PRISM|8894	0.00017725700485252583
PRISM|8998	0.0004157627429460309
PRISM|9079	0.0010779946118308766
PRISM|9126	0.00023276600012242272
