Sample	MSE
PRISM|7408	0.000277983439547938
PRISM|7421	0.0002844318002708763
PRISM|7744	0.0003074082686129896
PRISM|7855	0.00018414974319680414
PRISM|7860	0.000170002705292835
PRISM|7897	0.00040716432575793826
PRISM|7908	0.0004418287891586079
PRISM|7911	0.00034288574587108237
PRISM|7947	0.0019203229155083505
PRISM|8226	0.00020619208116567
PRISM|8264	0.0014206805988660309
PRISM|8361	0.0006127953096254638
PRISM|8464	0.0018768502367337635
PRISM|8537	0.0010216950233370619
PRISM|8565	0.0015346346873610825
PRISM|8573	0.0004314834553987629
PRISM|8605	0.0004243709679222679
PRISM|8629	0.0033573797305415463
PRISM|8692	0.0001474442843247938
PRISM|8735	0.0002748996200540722
PRISM|8746	0.0029390169881296896
PRISM|8754	0.00011284418029273196
PRISM|8758	0.0011318953484676802
PRISM|8784	0.00021988214693938126
PRISM|8803	0.00033994849780139176
PRISM|8849	0.00152752635020835
PRISM|8878	0.00030312575369170086
PRISM|8894	0.00023436246175355667
PRISM|8998	0.00038601875810685563
PRISM|9079	0.0010995014514081959
PRISM|9126	0.00020974160020386596
