Sample	MSE
PRISM|7408	0.00034569848105721633
PRISM|7421	0.00024312308334716495
PRISM|7744	0.0003219810634903092
PRISM|7855	0.00015242091649577324
PRISM|7860	0.00015080528817634013
PRISM|7897	0.00039365035651257744
PRISM|7908	0.0005153864154421131
PRISM|7911	0.00039056908979479373
PRISM|7947	0.0019188117590702059
PRISM|8226	0.00026469460258628864
PRISM|8264	0.0012472899712680926
PRISM|8361	0.0005449867490615463
PRISM|8464	0.001663707368328608
PRISM|8537	0.0011573105574391239
PRISM|8565	0.001832708080795103
PRISM|8573	0.0004674217061729898
PRISM|8605	0.00041714233394804105
PRISM|8629	0.0034771331307271117
PRISM|8692	0.00013583678102273189
PRISM|8735	0.00034588990173139175
PRISM|8746	0.003238540730346185
PRISM|8754	9.570659528551551e-05
PRISM|8758	0.0010842492919563402
PRISM|8784	0.00021857242888164935
PRISM|8803	0.00031686612117355666
PRISM|8849	0.0016427463292413395
PRISM|8878	0.00030224951233603074
PRISM|8894	0.00020549639066695874
PRISM|8998	0.00044003021759242265
PRISM|9079	0.0010901634471246911
PRISM|9126	0.00021330592320592778
