clade_name,DRR111028,DRR111037,DRR111061,DRR111030,DRR111013,DRR111004,DRR111036,DRR111060,DRR111042,DRR111024,DRR111006,DRR111012
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales,0.000132,0.000143,0.000126,0.000132,0.000126,0.000137,0.000132,0.000125,0.000132,0.000126,0.000146,0.000125
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales,0.014946,0.017160,0.034574,0.014712,0.034608,0.015980,0.014717,0.034408,0.014813,0.034560,0.017277,0.034492
k__Bacteria|p__Cyanobacteria|c__Vampirivibrionia|o__Gastranaerophilales,0.000123,0.000131,0.000120,0.000123,0.000120,0.000126,0.000123,0.000121,0.000123,0.000120,0.000134,0.000120
k__Bacteria|p__Firmicutes|c__Bacilli|o__Izemoplasmatales,0.000145,0.000153,0.000131,0.000145,0.000131,0.000148,0.000145,0.000131,0.000145,0.000131,0.000157,0.000131
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales,0.179765,0.182112,0.164007,0.178505,0.164323,0.179457,0.178535,0.162257,0.179672,0.163884,0.181116,0.163181
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,0.046399,0.040851,0.015764,0.046965,0.015803,0.044030,0.046951,0.015692,0.046685,0.015765,0.041231,0.015726
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,0.000075,0.000079,0.000070,0.000075,0.000070,0.000076,0.000075,0.000070,0.000075,0.000070,0.000080,0.000070
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales,0.000169,0.000183,0.000175,0.000168,0.000175,0.000176,0.000168,0.000175,0.000168,0.000175,0.000188,0.000175
k__Bacteria|p__Firmicutes|c__Clostridia|o__Monoglobales,0.003533,0.003503,0.002235,0.003555,0.002241,0.003574,0.003554,0.002205,0.003528,0.002233,0.003582,0.002216
k__Bacteria|p__Verrucomicrobiota|c__Lentisphaeria|o__Oligosphaerales,0.000069,0.000073,0.000071,0.000068,0.000071,0.000070,0.000068,0.000071,0.000068,0.000071,0.000075,0.000071
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales,0.011286,0.011560,0.011012,0.011272,0.011014,0.011381,0.011272,0.011032,0.011274,0.011014,0.011668,0.011017
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales,0.293439,0.265343,0.114151,0.295890,0.114069,0.286837,0.295833,0.114339,0.294091,0.114166,0.269129,0.114331
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,0.003574,0.003421,0.001626,0.003589,0.001629,0.003573,0.003589,0.001624,0.003573,0.001627,0.003488,0.001623
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptococcales,0.000216,0.000225,0.000201,0.000216,0.000201,0.000218,0.000216,0.000201,0.000216,0.000201,0.000229,0.000201
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales-Tissierellales,0.000840,0.000831,0.000453,0.000843,0.000454,0.000848,0.000843,0.000455,0.000839,0.000453,0.000850,0.000453
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales,0.000073,0.000079,0.000066,0.000073,0.000066,0.000076,0.000073,0.000066,0.000073,0.000066,0.000081,0.000066
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales,0.000074,0.000080,0.000075,0.000073,0.000075,0.000076,0.000073,0.000075,0.000073,0.000075,0.000082,0.000075
k__Bacteria|p__Firmicutes|c__Bacilli|o__RF39,0.000067,0.000074,0.000068,0.000066,0.000068,0.000070,0.000066,0.000068,0.000066,0.000068,0.000076,0.000068
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales,0.000071,0.000075,0.000067,0.000071,0.000067,0.000073,0.000071,0.000067,0.000071,0.000067,0.000076,0.000067
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales,0.001587,0.001497,0.000821,0.001605,0.000824,0.001554,0.001604,0.000809,0.001591,0.000821,0.001531,0.000814
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales,0.000079,0.000084,0.000077,0.000079,0.000077,0.000080,0.000079,0.000077,0.000079,0.000077,0.000085,0.000077
k__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales,0.000191,0.000210,0.000195,0.000190,0.000196,0.000201,0.000190,0.000195,0.000190,0.000195,0.000215,0.000195
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales,0.000064,0.000070,0.000071,0.000064,0.000071,0.000067,0.000064,0.000071,0.000064,0.000071,0.000072,0.000071
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales,0.000069,0.000074,0.000066,0.000069,0.000066,0.000071,0.000069,0.000066,0.000069,0.000066,0.000076,0.000066
k__Bacteria|p__Firmicutes|c__Bacilli|o__Staphylococcales,0.000103,0.000111,0.000106,0.000103,0.000106,0.000106,0.000103,0.000106,0.000103,0.000106,0.000113,0.000106
k__Bacteria|p__Synergistota|c__Synergistia|o__Synergistales,0.000542,0.000544,0.000333,0.000545,0.000334,0.000548,0.000545,0.000331,0.000542,0.000333,0.000558,0.000332
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales,0.021750,0.024695,0.053527,0.021461,0.053515,0.022883,0.021468,0.053664,0.021613,0.053527,0.024813,0.053609
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales,0.003563,0.003991,0.005793,0.003536,0.005801,0.003714,0.003536,0.005755,0.003546,0.005792,0.004035,0.005774
k__Bacteria|p__Verrucomicrobiota|c__Lentisphaeria|o__Victivallales,0.000075,0.000082,0.000082,0.000074,0.000082,0.000078,0.000074,0.000082,0.000074,0.000082,0.000084,0.000082
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales,0.000062,0.000069,0.000074,0.000061,0.000074,0.000065,0.000061,0.000074,0.000061,0.000074,0.000071,0.000074
k__Bacteria|p__Firmicutes|c__uncultured|o__uncultured,0.000130,0.000137,0.000117,0.000129,0.000117,0.000133,0.000129,0.000116,0.000129,0.000117,0.000140,0.000116
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae,0.013962,0.015733,0.023099,0.013831,0.023113,0.014647,0.013834,0.023040,0.013883,0.023096,0.015835,0.023055
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0.000120,0.000128,0.000120,0.000120,0.000120,0.000123,0.000120,0.000120,0.000120,0.000120,0.000131,0.000120
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae,0.000069,0.000073,0.000068,0.000069,0.000068,0.000070,0.000069,0.000068,0.000069,0.000068,0.000075,0.000068
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae,0.018123,0.018884,0.018868,0.018053,0.018869,0.018548,0.018055,0.018881,0.018064,0.018870,0.019089,0.018870
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae,0.003575,0.003978,0.005781,0.003537,0.005783,0.003760,0.003538,0.005753,0.003553,0.005778,0.004017,0.005762
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Anaerofustaceae,0.000093,0.000097,0.000084,0.000092,0.000084,0.000094,0.000092,0.000085,0.000092,0.000084,0.000100,0.000084
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales-Tissierellales|f__Anaerovoracaceae,0.000818,0.000799,0.000426,0.000823,0.000427,0.000817,0.000823,0.000427,0.000818,0.000426,0.000817,0.000426
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae,0.000585,0.000573,0.000308,0.000589,0.000308,0.000585,0.000589,0.000307,0.000585,0.000308,0.000587,0.000307
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae,0.000074,0.000082,0.000081,0.000073,0.000081,0.000078,0.000073,0.000080,0.000073,0.000081,0.000084,0.000080
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.201021,0.213090,0.291522,0.199520,0.291468,0.206493,0.199556,0.292403,0.200316,0.291680,0.213724,0.291945
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae,0.004822,0.005060,0.005032,0.004826,0.005035,0.004955,0.004825,0.005027,0.004807,0.005032,0.005133,0.005027
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.059676,0.046806,0.010446,0.061741,0.010461,0.055277,0.061691,0.010320,0.060289,0.010436,0.047807,0.010379
k__Bacteria|p__Spirochaetota|c__Brachyspirae|o__Brachyspirales|f__Brachyspiraceae,0.000080,0.000089,0.000089,0.000079,0.000089,0.000084,0.000080,0.000089,0.000080,0.000089,0.000091,0.000089
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae,0.000067,0.000072,0.000069,0.000067,0.000069,0.000069,0.000067,0.000069,0.000067,0.000069,0.000074,0.000069
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Butyricicoccaceae,0.003871,0.003888,0.003487,0.003875,0.003494,0.003942,0.003875,0.003441,0.003862,0.003483,0.003955,0.003458
k__Bacteria|p__Campilobacterota|c__Campylobacteria|o__Campylobacterales|f__Campylobacteraceae,0.000094,0.000103,0.000092,0.000093,0.000093,0.000098,0.000093,0.000093,0.000093,0.000093,0.000106,0.000093
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,0.000125,0.000137,0.000135,0.000124,0.000135,0.000131,0.000124,0.000134,0.000125,0.000135,0.000140,0.000135
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Chloroplast,0.000068,0.000073,0.000070,0.000068,0.000070,0.000070,0.000068,0.000070,0.000068,0.000070,0.000075,0.000070
k__Bacteria|p__Firmicutes|c__Clostridia|o__Christensenellales|f__Christensenellaceae,0.018800,0.016080,0.004994,0.019150,0.004997,0.017841,0.019142,0.004984,0.018927,0.004994,0.016438,0.004986
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_UCG-014|f__Clostridia_UCG-014,0.004936,0.004829,0.003316,0.004963,0.003322,0.004914,0.004962,0.003284,0.004939,0.003313,0.004909,0.003295
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_vadinBB60_group|f__Clostridia_vadinBB60_group,0.001568,0.001470,0.000577,0.001585,0.000578,0.001551,0.001585,0.000575,0.001570,0.000577,0.001506,0.000575
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0.000431,0.000469,0.000506,0.000428,0.000507,0.000450,0.000428,0.000503,0.000428,0.000506,0.000479,0.000504
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae,0.000096,0.000108,0.000108,0.000095,0.000108,0.000102,0.000095,0.000108,0.000095,0.000108,0.000111,0.000108
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae,0.006809,0.006584,0.004121,0.006855,0.004124,0.006715,0.006854,0.004106,0.006825,0.004120,0.006678,0.004109
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriales_Incertae_Sedis,0.000477,0.000459,0.000317,0.000480,0.000318,0.000470,0.000480,0.000315,0.000478,0.000317,0.000469,0.000316
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae,0.000072,0.000079,0.000076,0.000071,0.000076,0.000075,0.000071,0.000076,0.000071,0.000076,0.000081,0.000076
k__Bacteria|p__Firmicutes|c__Incertae_Sedis|o__DTU014|f__DTU014,0.000182,0.000191,0.000155,0.000182,0.000155,0.000185,0.000182,0.000155,0.000182,0.000155,0.000195,0.000154
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Defluviitaleaceae,0.000186,0.000198,0.000169,0.000186,0.000169,0.000192,0.000186,0.000169,0.000186,0.000169,0.000203,0.000169
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae,0.002611,0.002852,0.003303,0.002588,0.003305,0.002741,0.002589,0.003282,0.002594,0.003302,0.002902,0.003291
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae,0.001482,0.001493,0.001068,0.001488,0.001071,0.001493,0.001488,0.001060,0.001481,0.001068,0.001524,0.001063
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae,0.019143,0.020152,0.021284,0.019131,0.021307,0.019729,0.019131,0.021150,0.019076,0.021278,0.020416,0.021196
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,0.000588,0.000673,0.000876,0.000581,0.000876,0.000632,0.000581,0.000869,0.000582,0.000875,0.000687,0.000872
k__Bacteria|p__Firmicutes|c__Bacilli|o__Erysipelotrichales|f__Erysipelatoclostridiaceae,0.000079,0.000084,0.000074,0.000079,0.000074,0.000081,0.000079,0.000074,0.000079,0.000074,0.000086,0.000074
k__Bacteria|p__Firmicutes|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae,0.000144,0.000158,0.000155,0.000143,0.000155,0.000151,0.000143,0.000155,0.000143,0.000155,0.000161,0.000155
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ethanoligenenaceae,0.000113,0.000124,0.000112,0.000112,0.000112,0.000118,0.000112,0.000112,0.000112,0.000112,0.000127,0.000112
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae,0.000197,0.000206,0.000152,0.000197,0.000152,0.000204,0.000197,0.000152,0.000197,0.000152,0.000210,0.000152
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae,0.000131,0.000145,0.000128,0.000130,0.000128,0.000139,0.000130,0.000127,0.000130,0.000128,0.000148,0.000127
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae,0.014088,0.016732,0.035619,0.013846,0.035653,0.015311,0.013852,0.035468,0.013941,0.035601,0.016821,0.035542
k__Bacteria|p__Cyanobacteria|c__Vampirivibrionia|o__Gastranaerophilales|f__Gastranaerophilales,0.000121,0.000131,0.000123,0.000121,0.000123,0.000126,0.000121,0.000123,0.000121,0.000123,0.000134,0.000123
k__Bacteria|p__Firmicutes|c__Bacilli|o__Staphylococcales|f__Gemellaceae,0.000107,0.000114,0.000099,0.000107,0.000099,0.000110,0.000107,0.000100,0.000107,0.000099,0.000116,0.000099
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae,0.000110,0.000119,0.000104,0.000109,0.000104,0.000115,0.000109,0.000104,0.000109,0.000104,0.000122,0.000104
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia|f__Hungateiclostridiaceae,0.000234,0.000242,0.000197,0.000235,0.000198,0.000236,0.000235,0.000197,0.000234,0.000198,0.000247,0.000197
k__Bacteria|p__Firmicutes|c__Bacilli|o__Izemoplasmatales|f__Izemoplasmatales,0.000146,0.000154,0.000130,0.000146,0.000130,0.000149,0.000146,0.000130,0.000146,0.000130,0.000157,0.000130
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae,0.182175,0.187845,0.160827,0.180135,0.160941,0.185609,0.180187,0.160326,0.181562,0.160831,0.187461,0.160488
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,0.013852,0.011587,0.003216,0.014119,0.003219,0.013132,0.014113,0.003203,0.013936,0.003215,0.011889,0.003207
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae,0.000074,0.000079,0.000074,0.000073,0.000074,0.000076,0.000073,0.000074,0.000073,0.000074,0.000081,0.000074
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae,0.000071,0.000075,0.000064,0.000071,0.000064,0.000072,0.000071,0.000064,0.000071,0.000064,0.000077,0.000064
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae,0.005033,0.005453,0.005695,0.004996,0.005705,0.005279,0.004997,0.005634,0.005002,0.005691,0.005540,0.005661
