clade_name	DRR127704	DRR127594	DRR127603	DRR162777	DRR127674	DRR127774	DRR127755	DRR127762	DRR127692	DRR127763	DRR127647	DRR127751	DRR127481	DRR127776	DRR127708	DRR127619
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02	0.024440	0.025050	0.028257	0.021683	0.026855	0.024615	0.025584	0.023550	0.021837	0.023234	0.029069	0.023340	0.026700	0.025902	0.027904	0.026362
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247	0.035594	0.038161	0.039213	0.029816	0.036557	0.034552	0.031860	0.034093	0.033027	0.032160	0.042742	0.031360	0.036868	0.034324	0.038700	0.035728
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47	0.018421	0.021055	0.022327	0.015754	0.020103	0.018392	0.017635	0.019105	0.017844	0.016467	0.023858	0.019041	0.019695	0.019984	0.021943	0.019953
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3	0.038858	0.041939	0.042079	0.033184	0.041309	0.037810	0.035376	0.038460	0.036403	0.035299	0.046488	0.032504	0.039714	0.035831	0.042983	0.041399
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_170	0.107784	0.097986	0.104976	0.089008	0.105653	0.096603	0.087874	0.092134	0.089601	0.101421	0.111701	0.086531	0.111979	0.091578	0.107900	0.102166
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_180	0.041544	0.049763	0.045220	0.033448	0.044340	0.039538	0.037094	0.046266	0.043445	0.036275	0.054496	0.035178	0.042117	0.038066	0.046598	0.044449
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181	0.027564	0.027319	0.029787	0.022684	0.029458	0.026259	0.024305	0.025534	0.024360	0.025565	0.031624	0.023827	0.029261	0.024512	0.030616	0.028540
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_414	0.053913	0.063348	0.063365	0.050408	0.058854	0.056085	0.054480	0.057723	0.056364	0.051963	0.064147	0.057027	0.057209	0.058980	0.062678	0.056871
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448	0.066772	0.066100	0.072592	0.060610	0.069797	0.066401	0.067192	0.063137	0.060558	0.063741	0.076106	0.064627	0.071287	0.067865	0.073587	0.070019
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis	0.023135	0.025877	0.026045	0.020603	0.026124	0.023077	0.023005	0.023581	0.022638	0.021535	0.030236	0.024625	0.025470	0.025105	0.026543	0.025709
