clade_name	DRR062245_y	DRR062234_y	DRR062244_x	DRR062226_x	DRR062248_x	DRR062282_x	DRR062261_y	DRR062252_y	DRR062262_x	DRR062253_y	DRR062251_y	DRR062224_y	DRR062261_x	DRR062248_y	DRR062240_x	DRR062269_x	DRR062247_y	DRR062249_y	DRR062225_x	DRR062242_x	DRR062229_y	DRR062228_x	DRR062260_y	DRR062263_x	DRR062234_x	DRR062220_x	DRR062236_y
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.042836	0.025786	0.028062	0.453945	0.015417	0.106417	0.008366	0.012303	0.043710	0.014568	0.009447	0.008082	0.008366	0.015417	0.013659	0.058233	0.007799	0.013683	0.022948	0.015249	0.032548	0.023093	0.012271	0.013500	0.025786	0.019703	0.027307
k__Bacteria|p__Firmicutes|c__Bacilli|o__Erysipelotrichales	0.056999	0.105431	0.070581	0.097474	0.041807	0.132329	0.058315	0.042730	0.115908	0.074706	0.028007	0.046869	0.058315	0.041807	0.055160	0.066226	0.015766	0.049954	0.029745	0.151900	0.073347	0.035527	0.051145	0.041024	0.105431	0.091905	0.054949
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	0.249113	0.381231	0.136165	0.183886	0.166430	0.260881	0.406125	0.500394	0.474818	0.541943	0.200653	0.612056	0.406125	0.166430	0.443960	0.182837	0.235030	0.549843	0.120841	0.461137	0.147858	0.149280	0.516067	0.205624	0.381231	0.281582	0.141135
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.230029	0.284817	0.939131	0.178038	0.179864	0.494617	0.407922	0.177521	0.165181	0.157157	0.275101	0.172013	0.407922	0.179864	0.198729	0.742433	0.233156	0.151534	0.276972	0.260174	0.399109	0.316067	0.202067	0.228107	0.284817	0.135357	0.435910
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales	0.002833	0.004806	0.002351	0.005279	0.001590	0.006827	0.006806	0.005268	0.011095	0.014277	0.001603	0.007988	0.006806	0.001590	0.004109	0.005260	0.002329	0.009615	0.001716	0.015594	0.002234	0.002077	0.009049	0.001775	0.004806	0.003120	0.002390
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales	0.070771	0.065280	0.013375	0.032773	0.054317	0.024464	0.171470	0.153205	0.189351	0.248204	0.105243	0.156931	0.171470	0.054317	0.127350	0.027716	0.115235	0.240914	0.028326	0.265710	0.032695	0.032717	0.185172	0.082474	0.065280	0.041738	0.025838
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.002276	0.004323	0.002780	0.005209	0.002276	0.006873	0.003307	0.004163	0.007317	0.005620	0.002384	0.003337	0.003307	0.002276	0.003234	0.007120	0.003335	0.005077	0.003250	0.004825	0.002857	0.003642	0.005046	0.002721	0.004323	0.002410	0.003480
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales-Tissierellales	0.001591	0.002073	0.001400	0.014449	0.000682	0.005823	0.003151	0.002787	0.007090	0.005544	0.000930	0.001637	0.003151	0.000682	0.001327	0.003376	0.002012	0.006323	0.000999	0.007563	0.001243	0.001072	0.003859	0.000886	0.002073	0.000828	0.001025
k__Bacteria|p__Firmicutes|c__Bacilli|o__Staphylococcales	0.001968	0.002920	0.001260	0.014086	0.001007	0.004238	0.000938	0.001950	0.004122	0.002478	0.001188	0.000680	0.000938	0.001007	0.000734	0.005988	0.001569	0.002735	0.002583	0.002066	0.002061	0.002539	0.001761	0.001209	0.002920	0.001116	0.002729
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales	0.010744	0.018266	0.005334	0.026597	0.007725	0.015977	0.010354	0.021435	0.023487	0.022809	0.009362	0.011315	0.010354	0.007725	0.008246	0.020292	0.018774	0.023686	0.013596	0.016309	0.006894	0.013105	0.018131	0.009103	0.018266	0.006134	0.009293
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	0.007253	0.009055	0.002328	0.010722	0.003932	0.006845	0.011969	0.012149	0.051840	0.023596	0.004939	0.010125	0.011969	0.003932	0.010035	0.007614	0.005083	0.016485	0.003724	0.012503	0.005371	0.005269	0.014868	0.008227	0.009055	0.005652	0.003271
