clade_name	DRR062218_x	DRR062219_x	DRR062220_x	DRR062221_x	DRR062222_x	DRR062223_x	DRR062224_x	DRR062225_x	DRR062226_x	DRR062227_x	DRR062228_x	DRR062229_x	DRR062230_x	DRR062231_x	DRR062232_x	DRR062233_x	DRR062234_x	DRR062235_x	DRR062236_x	DRR062237_x	DRR062238_x	DRR062239_x	DRR062240_x	DRR062241_x	DRR062242_x	DRR062243_x	DRR062244_x	DRR062245_x	DRR062246_x	DRR062247_x	DRR062248_x	DRR062249_x	DRR062250_x	DRR062251_x	DRR062252_x	DRR062253_x	DRR062254_x	DRR062255_x	DRR062256_x	DRR062257_x	DRR062258_x	DRR062259_x	DRR062260_x	DRR062261_x	DRR062262_x	DRR062263_x	DRR062264_x	DRR062265_x	DRR062266_x	DRR062267_x	DRR062218_y	DRR062219_y	DRR062220_y	DRR062221_y	DRR062222_y	DRR062223_y	DRR062224_y	DRR062225_y	DRR062226_y	DRR062227_y	DRR062228_y	DRR062229_y	DRR062230_y	DRR062231_y	DRR062232_y	DRR062233_y	DRR062234_y	DRR062235_y	DRR062236_y	DRR062237_y	DRR062238_y	DRR062239_y	DRR062240_y	DRR062241_y	DRR062242_y	DRR062243_y	DRR062244_y	DRR062268_x	DRR062269_x	DRR062270_x	DRR062271_x	DRR062272_x	DRR062273_x	DRR062274_x	DRR062275_x	DRR062276_x	DRR062277_x	DRR062278_x	DRR062279_x	DRR062280_x	DRR062281_x	DRR062282_x	DRR062283_x	DRR062245_y	DRR062246_y	DRR062247_y	DRR062248_y	DRR062249_y	DRR062250_y	DRR062251_y	DRR062252_y	DRR062253_y	DRR062254_y	DRR062255_y	DRR062256_y	DRR062257_y	DRR062258_y	DRR062259_y	DRR062260_y	DRR062261_y	DRR062262_y	DRR062263_y	DRR062264_y	DRR062265_y	DRR062266_y	DRR062267_y	DRR062268_y	DRR062269_y	DRR062270_y	DRR062271_y	DRR062272_y	DRR062273_y	DRR062274_y	DRR062275_y	DRR062276_y	DRR062277_y	DRR062278_y	DRR062279_y	DRR062280_y	DRR062281_y	DRR062282_y	DRR062283_y
k__Bacteria|p__Actinobacteriota	0.0374331550802139	0.0427807486631016	0.6592920353982301	0.4711779448621553	0.0465116279069767	0.7806122448979592	0.1659388646288209	0.3757575757575757	0.0	0.2933673469387755	0.4234234234234234	0.4382239382239382	0.3399602385685885	0.3804878048780488	0.1590909090909091	0.6829268292682927	0.3176470588235294	0.0335570469798657	0.2679856115107913	0.6430769230769231	0.0163487738419618	0.5016835016835017	0.3073684210526315	0.1048034934497816	0.0	0.13671875	0.0506912442396313	0.3138888888888889	0.2119565217391304	0.1141439205955335	0.5172413793103449	0.278772378516624	0.095617529880478	0.3507109004739336	0.1637931034482758	0.0756880733944954	0.2493074792243767	0.0896860986547085	0.5155131264916468	0.2377260981912144	0.2758620689655172	0.0970149253731343	0.2474489795918367	0.1028938906752411	0.2228739002932551	0.4453125	0.4428571428571428	0.3909574468085106	0.0869565217391304	0.515686274509804	0.0374331550802139	0.0427807486631016	0.6592920353982301	0.4711779448621553	0.0465116279069767	0.7806122448979592	0.1659388646288209	0.3757575757575757	0.0	0.2933673469387755	0.4234234234234234	0.4382239382239382	0.3399602385685885	0.3804878048780488	0.1590909090909091	0.6829268292682927	0.3176470588235294	0.0335570469798657	0.2679856115107913	0.6430769230769231	0.0163487738419618	0.5016835016835017	0.3073684210526315	0.1048034934497816	0.0	0.13671875	0.0506912442396313	0.157563025210084	0.2335766423357664	0.1678571428571428	0.1509433962264151	0.6818181818181818	0.3029411764705882	0.541033434650456	0.3090909090909091	0.5520833333333334	0.1436170212765957	0.1436170212765957	0.0	0.009933774834437	0.0045454545454545	0.1682847896440129	0.345372460496614	0.3138888888888889	0.2119565217391304	0.1141439205955335	0.5172413793103449	0.278772378516624	0.095617529880478	0.3507109004739336	0.1637931034482758	0.0756880733944954	0.2493074792243767	0.0896860986547085	0.5155131264916468	0.2377260981912144	0.2758620689655172	0.0970149253731343	0.2474489795918367	0.1028938906752411	0.2228739002932551	0.4453125	0.4428571428571428	0.3909574468085106	0.0869565217391304	0.515686274509804	0.157563025210084	0.2335766423357664	0.1678571428571428	0.1509433962264151	0.6818181818181818	0.3029411764705882	0.541033434650456	0.3090909090909091	0.5520833333333334	0.1436170212765957	0.1436170212765957	0.0	0.009933774834437	0.0045454545454545	0.1682847896440129	0.345372460496614
k__Bacteria|p__Bacteroidota	0.3315508021390374	0.2352941176470588	0.0132743362831858	0.0	0.1705426356589147	0.0306122448979591	0.0480349344978165	0.3272727272727272	0.0	0.0994897959183673	0.1936936936936936	0.0	0.2326043737574552	0.3658536585365853	0.1988636363636363	0.0206378986866791	0.2470588235294117	0.0100671140939597	0.276978417266187	0.0	0.0299727520435967	0.1548821548821548	0.0505263157894736	0.1069868995633187	0.0	0.46484375	0.0	0.1361111111111111	0.1630434782608695	0.3970223325062035	0.1140583554376657	0.2046035805626598	0.0717131474103585	0.1943127962085308	0.2183908045977011	0.2706422018348624	0.1385041551246537	0.147982062780269	0.162291169451074	0.1782945736434108	0.0086206896551724	0.1156716417910447	0.1709183673469387	0.067524115755627	0.0762463343108504	0.1171875	0.0071428571428571	0.0398936170212766	0.2326086956521739	0.0725490196078431	0.3315508021390374	0.2352941176470588	0.0132743362831858	0.0	0.1705426356589147	0.0306122448979591	0.0480349344978165	0.3272727272727272	0.0	0.0994897959183673	0.1936936936936936	0.0	0.2326043737574552	0.3658536585365853	0.1988636363636363	0.0206378986866791	0.2470588235294117	0.0100671140939597	0.276978417266187	0.0	0.0299727520435967	0.1548821548821548	0.0505263157894736	0.1069868995633187	0.0	0.46484375	0.0	0.5861344537815126	0.2664233576642336	0.3464285714285714	0.4528301886792453	0.0695187165775401	0.0588235294117647	0.0	0.0	0.0	0.0957446808510638	0.0957446808510638	0.4208494208494208	0.0264900662251655	0.625	0.0	0.3656884875846501	0.1361111111111111	0.1630434782608695	0.3970223325062035	0.1140583554376657	0.2046035805626598	0.0717131474103585	0.1943127962085308	0.2183908045977011	0.2706422018348624	0.1385041551246537	0.147982062780269	0.162291169451074	0.1782945736434108	0.0086206896551724	0.1156716417910447	0.1709183673469387	0.067524115755627	0.0762463343108504	0.1171875	0.0071428571428571	0.0398936170212766	0.2326086956521739	0.0725490196078431	0.5861344537815126	0.2664233576642336	0.3464285714285714	0.4528301886792453	0.0695187165775401	0.0588235294117647	0.0	0.0	0.0	0.0957446808510638	0.0957446808510638	0.4208494208494208	0.0264900662251655	0.625	0.0	0.3656884875846501
k__Bacteria|p__Firmicutes	0.6310160427807486	0.6417112299465241	0.3274336283185841	0.5037593984962406	0.751937984496124	0.1887755102040816	0.7860262008733624	0.2848484848484848	0.0	0.6071428571428571	0.3738738738738739	0.5540540540540541	0.4234592445328032	0.2439024390243902	0.6420454545454546	0.2964352720450281	0.4352941176470588	0.4161073825503356	0.4514388489208633	0.3138461538461538	0.6049046321525886	0.3367003367003367	0.6421052631578947	0.7816593886462883	0.9478260869565216	0.3984375	0.9493087557603688	0.3416666666666667	0.5887681159420289	0.4665012406947891	0.3395225464190981	0.5038363171355499	0.8326693227091634	0.4454976303317535	0.6120689655172413	0.6422018348623854	0.6121883656509696	0.7623318385650224	0.3078758949880668	0.5684754521963824	0.6637931034482759	0.7873134328358209	0.5739795918367347	0.8231511254019293	0.5278592375366569	0.4375	0.5428571428571428	0.5691489361702128	0.6565217391304348	0.3843137254901961	0.6310160427807486	0.6417112299465241	0.3274336283185841	0.5037593984962406	0.751937984496124	0.1887755102040816	0.7860262008733624	0.2848484848484848	0.0	0.6071428571428571	0.3738738738738739	0.5540540540540541	0.4234592445328032	0.2439024390243902	0.6420454545454546	0.2964352720450281	0.4352941176470588	0.4161073825503356	0.4514388489208633	0.3138461538461538	0.6049046321525886	0.3367003367003367	0.6421052631578947	0.7816593886462883	0.9478260869565216	0.3984375	0.9493087557603688	0.2563025210084033	0.4708029197080292	0.475	0.3962264150943396	0.1871657754010695	0.638235294117647	0.3829787234042553	0.6036363636363636	0.4479166666666667	0.7393617021276596	0.7393617021276596	0.4864864864864865	0.0132450331125827	0.1909090909090909	0.6601941747572816	0.1918735891647855	0.3416666666666667	0.5887681159420289	0.4665012406947891	0.3395225464190981	0.5038363171355499	0.8326693227091634	0.4454976303317535	0.6120689655172413	0.6422018348623854	0.6121883656509696	0.7623318385650224	0.3078758949880668	0.5684754521963824	0.6637931034482759	0.7873134328358209	0.5739795918367347	0.8231511254019293	0.5278592375366569	0.4375	0.5428571428571428	0.5691489361702128	0.6565217391304348	0.3843137254901961	0.2563025210084033	0.4708029197080292	0.475	0.3962264150943396	0.1871657754010695	0.638235294117647	0.3829787234042553	0.6036363636363636	0.4479166666666667	0.7393617021276596	0.7393617021276596	0.4864864864864865	0.0132450331125827	0.1909090909090909	0.6601941747572816	0.1918735891647855
k__Bacteria|p__Proteobacteria	0.0	0.0802139037433155	0.0	0.025062656641604	0.0310077519379844	0.0	0.0	0.0121212121212121	1.0	0.0	0.009009009009009	0.0077220077220077	0.003976143141153	0.0097560975609756	0.0	0.0	0.0	0.540268456375839	0.0035971223021582	0.043076923076923	0.3433242506811989	0.0067340067340067	0.0	0.0065502183406113	0.0521739130434782	0.0	0.0	0.2083333333333333	0.036231884057971	0.0223325062034739	0.0291777188328912	0.0127877237851662	0.0	0.0094786729857819	0.0057471264367816	0.0114678899082568	0.0	0.0	0.0095465393794749	0.0155038759689922	0.0387931034482758	0.0	0.0076530612244897	0.0064308681672025	0.1730205278592375	0.0	0.0071428571428571	0.0	0.0239130434782608	0.0274509803921568	0.0	0.0802139037433155	0.0	0.025062656641604	0.0310077519379844	0.0	0.0	0.0121212121212121	1.0	0.0	0.009009009009009	0.0077220077220077	0.003976143141153	0.0097560975609756	0.0	0.0	0.0	0.540268456375839	0.0035971223021582	0.043076923076923	0.3433242506811989	0.0067340067340067	0.0	0.0065502183406113	0.0521739130434782	0.0	0.0	0.0	0.0291970802919708	0.0107142857142857	0.0	0.0614973262032085	0.0	0.0759878419452887	0.0872727272727272	0.0	0.0212765957446808	0.0212765957446808	0.0926640926640926	0.9503311258278144	0.1795454545454545	0.1715210355987055	0.0970654627539503	0.2083333333333333	0.036231884057971	0.0223325062034739	0.0291777188328912	0.0127877237851662	0.0	0.0094786729857819	0.0057471264367816	0.0114678899082568	0.0	0.0	0.0095465393794749	0.0155038759689922	0.0387931034482758	0.0	0.0076530612244897	0.0064308681672025	0.1730205278592375	0.0	0.0071428571428571	0.0	0.0239130434782608	0.0274509803921568	0.0	0.0291970802919708	0.0107142857142857	0.0	0.0614973262032085	0.0	0.0759878419452887	0.0872727272727272	0.0	0.0212765957446808	0.0212765957446808	0.0926640926640926	0.9503311258278144	0.1795454545454545	0.1715210355987055	0.0970654627539503
k__Bacteria|p__Actinobacteriota|c__Actinobacteria	0.0374331550802139	0.0427807486631016	0.6592920353982301	0.4711779448621553	0.0271317829457364	0.7806122448979592	0.1659388646288209	0.3757575757575757	0.0	0.288265306122449	0.4234234234234234	0.4382239382239382	0.3399602385685885	0.3804878048780488	0.1022727272727272	0.6829268292682927	0.3176470588235294	0.0335570469798657	0.2679856115107913	0.6430769230769231	0.0163487738419618	0.494949494949495	0.3073684210526315	0.1048034934497816	0.0	0.0703125	0.0506912442396313	0.3138888888888889	0.2083333333333333	0.1042183622828784	0.5119363395225465	0.1687979539641943	0.095617529880478	0.3507109004739336	0.1637931034482758	0.0756880733944954	0.2437673130193905	0.0717488789237668	0.441527446300716	0.2377260981912144	0.2284482758620689	0.0783582089552238	0.1658163265306122	0.1028938906752411	0.2228739002932551	0.4453125	0.4321428571428571	0.3909574468085106	0.0869565217391304	0.515686274509804	0.0374331550802139	0.0427807486631016	0.6592920353982301	0.4711779448621553	0.0271317829457364	0.7806122448979592	0.1659388646288209	0.3757575757575757	0.0	0.288265306122449	0.4234234234234234	0.4382239382239382	0.3399602385685885	0.3804878048780488	0.1022727272727272	0.6829268292682927	0.3176470588235294	0.0335570469798657	0.2679856115107913	0.6430769230769231	0.0163487738419618	0.494949494949495	0.3073684210526315	0.1048034934497816	0.0	0.0703125	0.0506912442396313	0.157563025210084	0.2262773722627737	0.1607142857142857	0.1455525606469002	0.6818181818181818	0.288235294117647	0.541033434650456	0.3090909090909091	0.546875	0.1436170212765957	0.1436170212765957	0.0	0.009933774834437	0.0045454545454545	0.1682847896440129	0.345372460496614	0.3138888888888889	0.2083333333333333	0.1042183622828784	0.5119363395225465	0.1687979539641943	0.095617529880478	0.3507109004739336	0.1637931034482758	0.0756880733944954	0.2437673130193905	0.0717488789237668	0.441527446300716	0.2377260981912144	0.2284482758620689	0.0783582089552238	0.1658163265306122	0.1028938906752411	0.2228739002932551	0.4453125	0.4321428571428571	0.3909574468085106	0.0869565217391304	0.515686274509804	0.157563025210084	0.2262773722627737	0.1607142857142857	0.1455525606469002	0.6818181818181818	0.288235294117647	0.541033434650456	0.3090909090909091	0.546875	0.1436170212765957	0.1436170212765957	0.0	0.009933774834437	0.0045454545454545	0.1682847896440129	0.345372460496614
k__Bacteria|p__Firmicutes|c__Bacilli	0.2834224598930481	0.5828877005347594	0.084070796460177	0.3483709273182957	0.0232558139534883	0.0918367346938775	0.0436681222707423	0.2424242424242424	0.0	0.1581632653061224	0.2792792792792792	0.4478764478764478	0.2703777335984095	0.2195121951219512	0.2159090909090909	0.2514071294559099	0.1450980392156863	0.3322147651006711	0.4352517985611511	0.123076923076923	0.4359673024523161	0.1548821548821548	0.1473684210526315	0.4410480349344978	0.2579710144927536	0.1875	0.8571428571428571	0.1	0.1105072463768116	0.0595533498759305	0.0689655172413793	0.0434782608695652	0.1115537848605577	0.1587677725118483	0.0833333333333333	0.0321100917431192	0.0498614958448753	0.3228699551569506	0.1288782816229117	0.0852713178294573	0.0517241379310344	0.0783582089552238	0.0739795918367346	0.247588424437299	0.0351906158357771	0.1744791666666666	0.0678571428571428	0.0664893617021276	0.3934782608695652	0.1941176470588235	0.2834224598930481	0.5828877005347594	0.084070796460177	0.3483709273182957	0.0232558139534883	0.0918367346938775	0.0436681222707423	0.2424242424242424	0.0	0.1581632653061224	0.2792792792792792	0.4478764478764478	0.2703777335984095	0.2195121951219512	0.2159090909090909	0.2514071294559099	0.1450980392156863	0.3322147651006711	0.4352517985611511	0.123076923076923	0.4359673024523161	0.1548821548821548	0.1473684210526315	0.4410480349344978	0.2579710144927536	0.1875	0.8571428571428571	0.2163865546218487	0.4708029197080292	0.1607142857142857	0.1024258760107816	0.1818181818181818	0.2852941176470588	0.2948328267477204	0.2654545454545454	0.1796875	0.2393617021276596	0.2393617021276596	0.1891891891891892	0.0132450331125827	0.1159090909090909	0.4466019417475728	0.0970654627539503	0.1	0.1105072463768116	0.0595533498759305	0.0689655172413793	0.0434782608695652	0.1115537848605577	0.1587677725118483	0.0833333333333333	0.0321100917431192	0.0498614958448753	0.3228699551569506	0.1288782816229117	0.0852713178294573	0.0517241379310344	0.0783582089552238	0.0739795918367346	0.247588424437299	0.0351906158357771	0.1744791666666666	0.0678571428571428	0.0664893617021276	0.3934782608695652	0.1941176470588235	0.2163865546218487	0.4708029197080292	0.1607142857142857	0.1024258760107816	0.1818181818181818	0.2852941176470588	0.2948328267477204	0.2654545454545454	0.1796875	0.2393617021276596	0.2393617021276596	0.1891891891891892	0.0132450331125827	0.1159090909090909	0.4466019417475728	0.0970654627539503
k__Bacteria|p__Bacteroidota|c__Bacteroidia	0.3315508021390374	0.2352941176470588	0.0132743362831858	0.0	0.1705426356589147	0.0306122448979591	0.0480349344978165	0.3272727272727272	0.0	0.0994897959183673	0.1936936936936936	0.0	0.2326043737574552	0.3658536585365853	0.1988636363636363	0.0206378986866791	0.2470588235294117	0.0100671140939597	0.276978417266187	0.0	0.0299727520435967	0.1548821548821548	0.0505263157894736	0.1069868995633187	0.0	0.46484375	0.0	0.1361111111111111	0.1630434782608695	0.3970223325062035	0.1140583554376657	0.2046035805626598	0.0717131474103585	0.1943127962085308	0.2183908045977011	0.2706422018348624	0.1385041551246537	0.147982062780269	0.162291169451074	0.1782945736434108	0.0086206896551724	0.1156716417910447	0.1709183673469387	0.067524115755627	0.0762463343108504	0.1171875	0.0071428571428571	0.0398936170212766	0.2326086956521739	0.0725490196078431	0.3315508021390374	0.2352941176470588	0.0132743362831858	0.0	0.1705426356589147	0.0306122448979591	0.0480349344978165	0.3272727272727272	0.0	0.0994897959183673	0.1936936936936936	0.0	0.2326043737574552	0.3658536585365853	0.1988636363636363	0.0206378986866791	0.2470588235294117	0.0100671140939597	0.276978417266187	0.0	0.0299727520435967	0.1548821548821548	0.0505263157894736	0.1069868995633187	0.0	0.46484375	0.0	0.5861344537815126	0.2664233576642336	0.3464285714285714	0.4528301886792453	0.0695187165775401	0.0588235294117647	0.0	0.0	0.0	0.0957446808510638	0.0957446808510638	0.4208494208494208	0.0264900662251655	0.625	0.0	0.3656884875846501	0.1361111111111111	0.1630434782608695	0.3970223325062035	0.1140583554376657	0.2046035805626598	0.0717131474103585	0.1943127962085308	0.2183908045977011	0.2706422018348624	0.1385041551246537	0.147982062780269	0.162291169451074	0.1782945736434108	0.0086206896551724	0.1156716417910447	0.1709183673469387	0.067524115755627	0.0762463343108504	0.1171875	0.0071428571428571	0.0398936170212766	0.2326086956521739	0.0725490196078431	0.5861344537815126	0.2664233576642336	0.3464285714285714	0.4528301886792453	0.0695187165775401	0.0588235294117647	0.0	0.0	0.0	0.0957446808510638	0.0957446808510638	0.4208494208494208	0.0264900662251655	0.625	0.0	0.3656884875846501
k__Bacteria|p__Firmicutes|c__Clostridia	0.2780748663101604	0.0374331550802139	0.2256637168141592	0.1553884711779448	0.6472868217054264	0.096938775510204	0.7292576419213974	0.0424242424242424	0.0	0.4158163265306122	0.0765765765765765	0.0791505791505791	0.1332007952286282	0.0146341463414634	0.4034090909090909	0.0450281425891182	0.2745098039215686	0.0436241610738255	0.0161870503597122	0.1907692307692307	0.1634877384196185	0.1818181818181818	0.48	0.3275109170305676	0.6898550724637681	0.2109375	0.0829493087557603	0.2416666666666666	0.4673913043478261	0.3945409429280397	0.2413793103448276	0.4373401534526854	0.7131474103585658	0.2867298578199052	0.5287356321839081	0.573394495412844	0.556786703601108	0.42152466367713	0.1646778042959427	0.4780361757105943	0.6120689655172413	0.7089552238805971	0.4744897959183674	0.5562700964630225	0.4310850439882698	0.2630208333333333	0.475	0.5026595744680851	0.258695652173913	0.1901960784313725	0.2780748663101604	0.0374331550802139	0.2256637168141592	0.1553884711779448	0.6472868217054264	0.096938775510204	0.7292576419213974	0.0424242424242424	0.0	0.4158163265306122	0.0765765765765765	0.0791505791505791	0.1332007952286282	0.0146341463414634	0.4034090909090909	0.0450281425891182	0.2745098039215686	0.0436241610738255	0.0161870503597122	0.1907692307692307	0.1634877384196185	0.1818181818181818	0.48	0.3275109170305676	0.6898550724637681	0.2109375	0.0829493087557603	0.0210084033613445	0.0	0.3035714285714285	0.2884097035040431	0.0	0.3411764705882353	0.0881458966565349	0.3381818181818182	0.2682291666666667	0.5	0.5	0.2895752895752895	0.0	0.0659090909090909	0.2135922330097087	0.0	0.2416666666666666	0.4673913043478261	0.3945409429280397	0.2413793103448276	0.4373401534526854	0.7131474103585658	0.2867298578199052	0.5287356321839081	0.573394495412844	0.556786703601108	0.42152466367713	0.1646778042959427	0.4780361757105943	0.6120689655172413	0.7089552238805971	0.4744897959183674	0.5562700964630225	0.4310850439882698	0.2630208333333333	0.475	0.5026595744680851	0.258695652173913	0.1901960784313725	0.0210084033613445	0.0	0.3035714285714285	0.2884097035040431	0.0	0.3411764705882353	0.0881458966565349	0.3381818181818182	0.2682291666666667	0.5	0.5	0.2895752895752895	0.0	0.0659090909090909	0.2135922330097087	0.0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia	0.0	0.0	0.0	0.0	0.0193798449612403	0.0	0.0	0.0	0.0	0.0051020408163265	0.0	0.0	0.0	0.0	0.0568181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0067340067340067	0.0	0.0	0.0	0.06640625	0.0	0.0	0.0036231884057971	0.009925558312655	0.0053050397877984	0.1099744245524296	0.0	0.0	0.0	0.0	0.0055401662049861	0.0179372197309417	0.0739856801909307	0.0	0.0474137931034482	0.0186567164179104	0.0816326530612244	0.0	0.0	0.0	0.0107142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0193798449612403	0.0	0.0	0.0	0.0	0.0051020408163265	0.0	0.0	0.0	0.0	0.0568181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0067340067340067	0.0	0.0	0.0	0.06640625	0.0	0.0	0.0072992700729927	0.0071428571428571	0.0053908355795148	0.0	0.0147058823529411	0.0	0.0	0.0052083333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036231884057971	0.009925558312655	0.0053050397877984	0.1099744245524296	0.0	0.0	0.0	0.0	0.0055401662049861	0.0179372197309417	0.0739856801909307	0.0	0.0474137931034482	0.0186567164179104	0.0816326530612244	0.0	0.0	0.0	0.0107142857142857	0.0	0.0	0.0	0.0	0.0072992700729927	0.0071428571428571	0.0053908355795148	0.0	0.0147058823529411	0.0	0.0	0.0052083333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.0	0.0802139037433155	0.0	0.025062656641604	0.0310077519379844	0.0	0.0	0.0121212121212121	1.0	0.0	0.009009009009009	0.0077220077220077	0.003976143141153	0.0097560975609756	0.0	0.0	0.0	0.540268456375839	0.0035971223021582	0.043076923076923	0.3433242506811989	0.0067340067340067	0.0	0.0065502183406113	0.0521739130434782	0.0	0.0	0.2083333333333333	0.036231884057971	0.0223325062034739	0.0291777188328912	0.0127877237851662	0.0	0.0094786729857819	0.0057471264367816	0.0114678899082568	0.0	0.0	0.0095465393794749	0.0155038759689922	0.0387931034482758	0.0	0.0076530612244897	0.0064308681672025	0.1730205278592375	0.0	0.0071428571428571	0.0	0.0239130434782608	0.0274509803921568	0.0	0.0802139037433155	0.0	0.025062656641604	0.0310077519379844	0.0	0.0	0.0121212121212121	1.0	0.0	0.009009009009009	0.0077220077220077	0.003976143141153	0.0097560975609756	0.0	0.0	0.0	0.540268456375839	0.0035971223021582	0.043076923076923	0.3433242506811989	0.0067340067340067	0.0	0.0065502183406113	0.0521739130434782	0.0	0.0	0.0	0.0291970802919708	0.0107142857142857	0.0	0.0614973262032085	0.0	0.0759878419452887	0.0872727272727272	0.0	0.0212765957446808	0.0212765957446808	0.0926640926640926	0.9503311258278144	0.1795454545454545	0.1715210355987055	0.0970654627539503	0.2083333333333333	0.036231884057971	0.0223325062034739	0.0291777188328912	0.0127877237851662	0.0	0.0094786729857819	0.0057471264367816	0.0114678899082568	0.0	0.0	0.0095465393794749	0.0155038759689922	0.0387931034482758	0.0	0.0076530612244897	0.0064308681672025	0.1730205278592375	0.0	0.0071428571428571	0.0	0.0239130434782608	0.0274509803921568	0.0	0.0291970802919708	0.0107142857142857	0.0	0.0614973262032085	0.0	0.0759878419452887	0.0872727272727272	0.0	0.0212765957446808	0.0212765957446808	0.0926640926640926	0.9503311258278144	0.1795454545454545	0.1715210355987055	0.0970654627539503
