Sample	MSE
DRR062220_x	0.002337938207859957
DRR062225_x	0.0033913560627086897
DRR062226_x	0.0025974770863432437
DRR062228_x	0.0023301679292464838
DRR062234_x	0.0007769653103386051
DRR062240_x	0.0011016412298002587
DRR062242_x	0.007886749437045945
DRR062244_x	0.010425443898133572
DRR062248_x	0.0011631037625358584
DRR062261_x	0.0033942957215937607
DRR062262_x	0.0017402214444483147
DRR062263_x	0.0006032003833679774
DRR062224_y	0.004269383738280196
DRR062229_y	0.0030402007163183664
DRR062234_y	0.0007700212271647784
DRR062236_y	0.002994919469173508
DRR062269_x	0.003293821894446463
DRR062282_x	0.005342911548665243
DRR062245_y	0.0013855552832136213
DRR062247_y	0.0020576826196217037
DRR062248_y	0.0010994937898093807
DRR062249_y	0.0015480050691496965
DRR062251_y	0.0007444516413823233
DRR062252_y	0.0016837074907430354
DRR062253_y	0.002319833073385942
DRR062260_y	0.0013741782376798242
DRR062261_y	0.0033720957289076277
