Sample	MSE
DRR062220_x	0.0008175243379029607
DRR062225_x	0.0006917655865656872
DRR062226_x	0.0005247337158049888
DRR062228_x	0.0016064460151488532
DRR062234_x	0.0009823489561782174
DRR062240_x	0.000806396139351411
DRR062242_x	0.005578164942459478
DRR062244_x	0.002467158600162776
DRR062248_x	0.0008631932159805126
DRR062261_x	0.001482003713693367
DRR062262_x	0.0013523697925337539
DRR062263_x	0.0014538198713192883
DRR062224_y	0.0008865327463297277
DRR062229_y	0.001887812012510788
DRR062234_y	0.0010572024363159128
DRR062236_y	0.0026151459363497258
DRR062269_x	0.004318712660840418
DRR062282_x	0.0022100151849580693
DRR062245_y	0.0015786456161405878
DRR062247_y	0.0011514443270476385
DRR062248_y	0.0008805355245381824
DRR062249_y	0.001129496172206623
DRR062251_y	0.0007619903044514424
DRR062252_y	0.0007454267297424544
DRR062253_y	0.0007705487846121044
DRR062260_y	0.000558839816077439
DRR062261_y	0.0014182111201020704
