Sample	MSE
DRR062220_x	0.000990161589208818
DRR062225_x	0.0008067395157917683
DRR062226_x	0.006706362679019274
DRR062228_x	0.0005906722019759621
DRR062234_x	0.002406008155951076
DRR062240_x	0.0013175045254353865
DRR062242_x	0.006000456364297127
DRR062244_x	0.0016718387727482624
DRR062248_x	0.0012830740281437327
DRR062261_x	0.0018849119900163558
DRR062262_x	0.004555987329394888
DRR062263_x	0.0007266799213923222
DRR062224_y	0.002099826860836427
DRR062229_y	0.0007065680842624693
DRR062234_y	0.002406008155951076
DRR062236_y	0.0013727311611399628
DRR062269_x	0.0032328791844074656
DRR062282_x	0.0027761122280425396
DRR062245_y	0.0016178638534926479
DRR062247_y	0.0018374310351582138
DRR062248_y	0.0012830740281437327
DRR062249_y	0.004187552017268064
DRR062251_y	0.0011153629529452134
DRR062252_y	0.001973144158553188
DRR062253_y	0.0033720293756278764
DRR062260_y	0.0025573978225389175
DRR062261_y	0.0018849119900163558
