Sample	MSE
ERR1398072	0.0002228812479152646
ERR1398073	0.0013284055641378698
ERR1398075	0.001245008933152524
ERR1398080	0.00019023457972333787
ERR1398086	0.0003862615246553053
ERR1398090	0.00021216032633962012
ERR1398094	0.0015975989745264179
ERR1398101	0.000724970185473772
ERR1398105	0.004979951709702319
ERR1398112	0.0008381531858004206
ERR1398113	0.0005093341670912619
ERR1398123	0.0003286607458374762
ERR1398124	0.0007485354924079647
ERR1398128	0.0003163847532957531
ERR1398131	0.00020114585790689286
ERR1398134	0.001050634045264681
ERR1398142	0.00015304552326476256
ERR1398148	0.00031503592654883323
ERR1398151	0.0023095032163893757
ERR1398157	0.0005385436908735549
ERR1398174	0.0002827516026062822
ERR1398178	0.00018262376762420623
ERR1398181	0.00039467117270815494
ERR1398191	0.0002663568175672865
ERR1398192	0.0012031159958274357
ERR1398193	0.0002623021209540706
ERR1398202	0.00010442912966839893
ERR1398204	0.0011711227762583988
ERR1398209	0.00022942696125442328
ERR1398223	0.0002931380882032564
ERR1398228	0.0005548428874225781
ERR1398229	0.00023766625194291725
ERR1398231	0.000884911074708521
ERR1398234	0.00022235500485621432
ERR1398238	0.00039128670103625516
ERR1398239	0.0003166320313615061
ERR1398241	0.00017958713466249664
ERR1398243	0.0003464399530830665
ERR1398246	0.00032809879989063775
ERR1398249	0.00019502005127169618
