Sample	MSE
ERR1398072	0.0002002256404943691
ERR1398073	0.00023315089214194035
ERR1398075	0.0008122392464542877
ERR1398080	0.00030281805790949794
ERR1398086	0.00039192339035327
ERR1398090	5.335545186472189e-05
ERR1398094	0.0006455708307663094
ERR1398101	0.0007489633778175984
ERR1398105	0.004585648572498792
ERR1398112	0.00037301290405523745
ERR1398113	0.000680114139343365
ERR1398123	0.0007257244846494165
ERR1398124	0.000455992538212578
ERR1398128	0.00032938627213293075
ERR1398131	7.81204343115061e-05
ERR1398134	0.0008644266346057936
ERR1398142	0.00020221859123382635
ERR1398148	0.0002982206382774628
ERR1398151	0.002018293888698195
ERR1398157	0.00041611705942525104
ERR1398174	0.0003186524000133378
ERR1398178	0.0012718863997539212
ERR1398181	0.00012124339533149259
ERR1398191	9.942960420962018e-05
ERR1398192	0.0007252971607254005
ERR1398193	0.00010207767235786972
ERR1398202	7.929897263936221e-05
ERR1398204	0.00061962954852597
ERR1398209	0.00030161108056487115
ERR1398223	0.00036978430292483036
ERR1398228	0.00028521891404645865
ERR1398229	7.083201324251017e-05
ERR1398231	0.00028146578717772047
ERR1398234	9.603981528932152e-05
ERR1398238	0.0004907651882036906
ERR1398239	0.0008933674147883717
ERR1398241	0.00013721974551378564
ERR1398243	0.00014550072793652647
ERR1398246	0.0002903610340719131
ERR1398249	3.334661307603801e-05
