Sample	MSE
ERR1398072	0.00013877265544660786
ERR1398073	0.00022676911582362284
ERR1398075	0.0004939503991935007
ERR1398080	7.85494288780189e-05
ERR1398086	0.00010307725803902304
ERR1398090	0.00042093280219660775
ERR1398094	0.00041030366971963375
ERR1398101	0.00027220551269466756
ERR1398105	0.0008056302863177884
ERR1398112	5.5263916003948436e-05
ERR1398113	0.00015244945811785618
ERR1398123	0.0003906126573093894
ERR1398124	0.0002675022702787924
ERR1398128	0.00032286530212126185
ERR1398131	0.000406991937893053
ERR1398134	0.0003583639749439214
ERR1398142	0.00011794909733803247
ERR1398148	0.00016368408392251018
ERR1398151	0.0004020857075717366
ERR1398157	0.0003414331004659566
ERR1398174	4.760642449393488e-05
ERR1398178	0.00016429754528472182
ERR1398181	0.0005950891658449253
ERR1398191	0.0005407825376272593
ERR1398192	0.00027705895259839893
ERR1398193	0.0005587327373502714
ERR1398202	0.00027806726774628235
ERR1398204	0.0002907085576763093
ERR1398209	0.0001593016472932293
ERR1398223	0.00019964746540325641
ERR1398228	0.00012793070922312075
ERR1398229	0.0003566071735298915
ERR1398231	0.00015282930776333781
ERR1398234	0.0004117542904277205
ERR1398238	0.0002232232220169877
ERR1398239	0.00025507394815662155
ERR1398241	4.443343800686567e-05
ERR1398243	0.00047947107710640446
ERR1398246	0.00019945614375766626
ERR1398249	0.0004148759990296337
