clade_name	ERR1398151	ERR1398080	ERR1398101	ERR1398181	ERR1398239	ERR1398202	ERR1398231	ERR1398192	ERR1398142	ERR1398086	ERR1398075	ERR1398073	ERR1398193	ERR1398229	ERR1398238	ERR1398249	ERR1398191	ERR1398128	ERR1398112	ERR1398209	ERR1398124	ERR1398241	ERR1398204	ERR1398157	ERR1398131	ERR1398123	ERR1398178	ERR1398234	ERR1398243	ERR1398113	ERR1398090	ERR1398223	ERR1398134	ERR1398105	ERR1398072	ERR1398148	ERR1398246	ERR1398174	ERR1398228	ERR1398094
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	7.8e-05	0.000692	0.000706	7.5e-05	0.0008	0.000126	0.000646	0.000159	0.000217	0.000248	0.000798	0.000511	9.6e-05	8.3e-05	0.00059	8.9e-05	8e-05	0.000716	0.000552	0.000274	0.000614	0.000616	0.000535	0.000763	9.4e-05	0.000667	0.00025	0.0001	8.5e-05	0.0007	9.1e-05	0.000781	0.00026	0.000716	0.000233	0.000223	0.000766	0.000656	0.000628	0.000512
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter	1.7e-05	4.1e-05	5.1e-05	1e-05	6.8e-05	1e-05	7.7e-05	3.3e-05	1.9e-05	4.5e-05	7.9e-05	2.3e-05	1e-05	1e-05	3e-05	1e-05	1e-05	4.3e-05	2.6e-05	3.4e-05	3.2e-05	3.2e-05	2.5e-05	6.4e-05	1e-05	3.8e-05	4.8e-05	1e-05	1e-05	4.1e-05	1e-05	5.9e-05	2.6e-05	7.5e-05	2.4e-05	1.9e-05	6.7e-05	3.8e-05	8.5e-05	2.3e-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter|s__Aggregatibacter_segnis	1.5e-05	4.1e-05	5.1e-05	1e-05	6.8e-05	1e-05	7.2e-05	3e-05	2e-05	4.1e-05	7.7e-05	2.4e-05	1e-05	1e-05	3.1e-05	1e-05	1e-05	4.3e-05	2.7e-05	3.4e-05	3.3e-05	3.3e-05	2.6e-05	6.3e-05	1e-05	3.9e-05	4.5e-05	1e-05	1e-05	4.2e-05	1e-05	5.8e-05	2.7e-05	7.1e-05	2.3e-05	1.9e-05	6.4e-05	3.9e-05	8.1e-05	2.4e-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	8e-05	0.000619	0.000659	7.3e-05	0.000678	0.000125	0.000593	0.000159	0.000217	0.000234	0.000703	0.000463	9.5e-05	8.2e-05	0.000536	8.7e-05	7.8e-05	0.000629	0.0005	0.000278	0.000561	0.00055	0.000488	0.000674	9.2e-05	0.000607	0.000247	9.8e-05	8.3e-05	0.000619	8.9e-05	0.000693	0.000264	0.000633	0.000234	0.000222	0.000687	0.000605	0.0006	0.000466
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_haemolyticus	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1.7e-05	1.2e-05	1.6e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1.6e-05	1.2e-05	1e-05	1e-05	1.9e-05	1e-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parahaemolyticus	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1.7e-05	1.2e-05	1.6e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1.5e-05	1.2e-05	1e-05	1e-05	1.9e-05	1e-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	8e-05	0.000576	0.000596	6.4e-05	0.000684	0.00011	0.000593	0.000158	0.000201	0.000243	0.000711	0.000427	8.3e-05	7.2e-05	0.000491	7.6e-05	6.9e-05	0.000594	0.000461	0.000261	0.00051	0.000514	0.000448	0.000661	8e-05	0.000557	0.000248	8.6e-05	7.2e-05	0.000587	7.8e-05	0.000665	0.000242	0.000636	0.000215	0.000203	0.000665	0.000548	0.000587	0.000428
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_pittmaniae	0.001583	0.001095	0.001306	0.000989	0.001779	0.001436	0.00237	0.002337	0.002356	0.002277	0.002119	0.000723	0.001184	0.001068	0.000862	0.001123	0.001037	0.001155	0.00079	0.00283	0.000914	0.00093	0.000768	0.001637	0.001152	0.001041	0.002635	0.001217	0.001084	0.001126	0.001136	0.001482	0.002591	0.001939	0.002688	0.00236	0.001664	0.001034	0.002941	0.000724
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05	2.3e-05	2.1e-05	2.8e-05	1e-05	4.1e-05	1.2e-05	5.2e-05	4e-05	3e-05	4.3e-05	4.9e-05	1.1e-05	1e-05	1e-05	1.5e-05	1e-05	1e-05	2.3e-05	1.3e-05	4e-05	1.7e-05	1.7e-05	1.3e-05	3.7e-05	1e-05	2e-05	4.8e-05	1e-05	1e-05	2.2e-05	1e-05	3.3e-05	3.4e-05	4.6e-05	3.6e-05	2.9e-05	3.8e-05	2e-05	6.4e-05	1.2e-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1.9e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	2.8e-05	3.3e-05	2.5e-05	3e-05	2.2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	3.4e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1e-05	3.5e-05	1e-05	1e-05	1e-05	1e-05	1.2e-05	2.8e-05	2e-05	3e-05	2.3e-05	1.5e-05	1e-05	3.7e-05	1e-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae	0.001781	0.000981	0.001196	0.001107	0.001625	0.001637	0.00223	0.002374	0.00286	0.002375	0.001918	0.000643	0.001353	0.001202	0.00078	0.001259	0.001165	0.001034	0.000707	0.003287	0.000819	0.000832	0.000685	0.001483	0.001297	0.000939	0.002599	0.001377	0.00122	0.001005	0.001284	0.001337	0.003011	0.001797	0.003093	0.00279	0.001515	0.000939	0.002694	0.000644
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter	0.00391	0.00318	0.003501	0.003889	0.004311	0.005155	0.005395	0.00511	0.007437	0.005232	0.004887	0.002381	0.004501	0.004129	0.002696	0.00428	0.004053	0.003286	0.002546	0.007841	0.002826	0.00285	0.002493	0.00404	0.004378	0.003075	0.005727	0.00457	0.004178	0.003245	0.004347	0.003847	0.007572	0.004452	0.007812	0.007284	0.004058	0.003053	0.006381	0.002382
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_johnsonii	0.003045	0.003189	0.003664	0.002261	0.004667	0.003133	0.005734	0.004392	0.004929	0.004673	0.005313	0.002243	0.002647	0.00242	0.00264	0.002531	0.002355	0.003317	0.002434	0.005714	0.002734	0.002779	0.002372	0.00435	0.002586	0.00308	0.005093	0.002711	0.002451	0.003261	0.002558	0.004007	0.005265	0.004877	0.005321	0.004853	0.004342	0.003064	0.006423	0.002249
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	1.6e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	2.4e-05	2.8e-05	2.5e-05	2.7e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	3.3e-05	1e-05	1e-05	1e-05	1.3e-05	1e-05	1e-05	3.1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	2.8e-05	1.8e-05	3.1e-05	2.4e-05	1.3e-05	1e-05	3.4e-05	1e-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	1.8e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	2.7e-05	3.2e-05	2.5e-05	3e-05	2.2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	3.3e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1e-05	3.4e-05	1e-05	1e-05	1e-05	1e-05	1.2e-05	2.8e-05	2.1e-05	3.1e-05	2.4e-05	1.6e-05	1e-05	3.6e-05	1e-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_aeruginosa_group	1.9e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	2.8e-05	3.2e-05	2.5e-05	3e-05	2.2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	3.2e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1e-05	3.5e-05	1e-05	1e-05	1e-05	1e-05	1.2e-05	2.8e-05	2e-05	3e-05	2.4e-05	1.5e-05	1e-05	3.6e-05	1e-05
