clade_name	ERR1398151	ERR1398080	ERR1398101	ERR1398181	ERR1398239	ERR1398202	ERR1398231	ERR1398192	ERR1398142	ERR1398086	ERR1398075	ERR1398073	ERR1398193	ERR1398229	ERR1398238	ERR1398249	ERR1398191	ERR1398128	ERR1398112	ERR1398209	ERR1398124	ERR1398241	ERR1398204	ERR1398157	ERR1398131	ERR1398123	ERR1398178	ERR1398234	ERR1398243	ERR1398113	ERR1398090	ERR1398223	ERR1398134	ERR1398105	ERR1398072	ERR1398148	ERR1398246	ERR1398174	ERR1398228	ERR1398094
k__Archaea	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.2e-05	1.6e-05	1.3e-05	1.5e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1.6e-05	1.2e-05	1e-05	1e-05	1.8e-05	1e-05
k__Archaea|p__Euryarchaeota	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.3e-05	1.9e-05	1.2e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1.5e-05	1.1e-05	1e-05	1e-05	1.9e-05	1e-05
k__Archaea|p__Euryarchaeota|c__Methanobacteria	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1.9e-05	1.3e-05	1.7e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1.6e-05	1.2e-05	1e-05	1e-05	2e-05	1e-05
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1.8e-05	1.3e-05	1.6e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1.6e-05	1.2e-05	1e-05	1e-05	2e-05	1e-05
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1.7e-05	1.3e-05	1.6e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1.5e-05	1.2e-05	1e-05	1e-05	2e-05	1e-05
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.2e-05	1.5e-05	1.3e-05	1.3e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1.6e-05	1.2e-05	1e-05	1e-05	1.7e-05	1e-05
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1.8e-05	1.2e-05	1.6e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1.5e-05	1.1e-05	1e-05	1e-05	1.9e-05	1e-05
k__Bacteria	0.991349	0.995172	0.971798	1.004303	1.007652	0.995469	1.018003	0.983306	0.994605	1.009046	1.01077	1.010334	1.002597	1.002298	0.997365	1.003541	1.003504	0.998885	1.004947	0.984879	0.99325	0.99724	1.007913	0.989847	1.000948	0.994659	1.021894	1.003272	1.001905	0.996208	1.001801	0.975333	1.006713	0.99585	1.014922	1.017874	0.983855	0.989442	1.005569	1.010124
k__Bacteria|p__Actinobacteria	0.029931	0.032951	0.040024	0.007471	0.055731	0.010439	0.065147	0.041927	0.017977	0.055313	0.059257	0.022733	0.008772	0.008032	0.027312	0.008294	0.007828	0.034646	0.024574	0.028071	0.027699	0.028694	0.02394	0.05048	0.008575	0.031634	0.054203	0.009039	0.008048	0.033602	0.008385	0.043511	0.022683	0.062488	0.020348	0.017646	0.050737	0.031797	0.066695	0.022751
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.015878	0.019041	0.023219	0.004408	0.034139	0.006271	0.043439	0.026036	0.011375	0.034865	0.037766	0.012951	0.005191	0.004729	0.015391	0.004905	0.004635	0.020136	0.013967	0.018557	0.01573	0.016418	0.013575	0.030652	0.005104	0.017955	0.034952	0.005325	0.004788	0.019476	0.005035	0.026176	0.014304	0.039737	0.012985	0.010572	0.031335	0.017934	0.043861	0.012928
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.000111	0.002654	0.002473	0.00019	0.002227	0.000299	0.001488	0.000235	0.000444	0.000427	0.0021	0.002371	0.000236	0.00021	0.002538	0.000219	0.000202	0.002658	0.002465	0.000515	0.002587	0.002543	0.002431	0.002296	0.000231	0.002645	0.000413	0.000244	0.000211	0.002637	0.000224	0.002517	0.000525	0.001854	0.000445	0.000472	0.002301	0.002621	0.001398	0.002379
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	9.9e-05	0.002565	0.002397	0.000187	0.0021	0.000299	0.001448	0.000221	0.000447	0.000402	0.002036	0.002317	0.000234	0.000207	0.002468	0.000218	0.0002	0.002554	0.00242	0.000531	0.002564	0.002482	0.002379	0.002178	0.000231	0.00257	0.000399	0.000242	0.00021	0.002579	0.000223	0.002488	0.000535	0.001725	0.000439	0.000473	0.00216	0.002542	0.001413	0.002329
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	2.4e-05	1.8e-05	2.4e-05	1e-05	3.6e-05	1.3e-05	5.4e-05	4.1e-05	3.3e-05	4.5e-05	4.5e-05	1e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	1.9e-05	1e-05	4.8e-05	1.3e-05	1.4e-05	1e-05	3.2e-05	1e-05	1.6e-05	4.9e-05	1e-05	1e-05	1.8e-05	1e-05	2.8e-05	4e-05	4.1e-05	3.8e-05	3.2e-05	3.3e-05	1.6e-05	6.5e-05	1e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183	2.4e-05	1.7e-05	2.2e-05	1e-05	3.5e-05	1.2e-05	5e-05	4.2e-05	3.3e-05	4.5e-05	4.4e-05	1e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	1.8e-05	1e-05	5.1e-05	1.3e-05	1.3e-05	1e-05	3.1e-05	1e-05	1.6e-05	5.2e-05	1e-05	1e-05	1.8e-05	1e-05	2.7e-05	4.1e-05	3.9e-05	3.8e-05	3.1e-05	3.1e-05	1.6e-05	6.6e-05	1e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	8.6e-05	0.002589	0.002354	0.000178	0.002236	0.000289	0.001475	0.000194	0.000444	0.000374	0.002127	0.002288	0.000223	0.000197	0.002419	0.000208	0.000189	0.002616	0.002382	0.000531	0.002499	0.002468	0.002343	0.002262	0.000221	0.002553	0.000367	0.000232	0.0002	0.002602	0.000213	0.002489	0.000532	0.001798	0.000439	0.000465	0.002235	0.002497	0.001378	0.002293
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis	1.3e-05	1e-05	1.3e-05	1e-05	2.1e-05	1e-05	2.9e-05	2.3e-05	1.7e-05	2.5e-05	2.6e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	2.4e-05	1e-05	1e-05	1e-05	1.8e-05	1e-05	1e-05	2.8e-05	1e-05	1e-05	1e-05	1e-05	1.6e-05	2e-05	2.4e-05	2.1e-05	1.6e-05	1.9e-05	1e-05	3.7e-05	1e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_georgiae	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1.6e-05	1.2e-05	1.6e-05	1.2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.3e-05	1.1e-05	1.4e-05	1.1e-05	1e-05	1e-05	1.9e-05	1e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	3.4e-05	0.00035	0.000376	1.5e-05	0.000417	3e-05	0.000349	7.4e-05	6.5e-05	0.000127	0.000428	0.000252	2.1e-05	1.8e-05	0.000295	1.9e-05	1.7e-05	0.000361	0.000273	0.0001	0.00031	0.000308	0.000266	0.000403	2e-05	0.000338	0.000126	2.2e-05	1.8e-05	0.000353	1.9e-05	0.000408	8.6e-05	0.000391	7.3e-05	6.6e-05	0.000409	0.000336	0.00034	0.000253
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_hongkongensis	1.2e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	2.2e-05	2.1e-05	1.5e-05	2.1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	2.2e-05	1e-05	1e-05	1e-05	1.3e-05	1e-05	1e-05	2.5e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1.8e-05	1.7e-05	1.9e-05	1.4e-05	1.3e-05	1e-05	2.9e-05	1e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1.6e-05	1.2e-05	1.5e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1.5e-05	1.1e-05	1e-05	1e-05	2e-05	1e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.3e-05	1.7e-05	1.3e-05	1.5e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.6e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1.5e-05	1.2e-05	1e-05	1e-05	1.8e-05	1e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.3e-05	1.6e-05	1.4e-05	1.5e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1.7e-05	1.3e-05	1e-05	1e-05	1.8e-05	1e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	4.7e-05	0.000355	0.000375	2.5e-05	0.000416	4.7e-05	0.000376	9.6e-05	9.8e-05	0.000158	0.000449	0.00026	3.4e-05	2.8e-05	0.000301	3e-05	2.7e-05	0.000363	0.000283	0.000154	0.000317	0.000316	0.000275	0.000409	3.3e-05	0.000345	0.00016	3.5e-05	2.9e-05	0.000361	3.1e-05	0.000416	0.000132	0.000395	0.000108	0.000101	0.000412	0.000341	0.000396	0.000261
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	1.9e-05	7.3e-05	8.8e-05	1e-05	0.000114	1e-05	0.000112	3.8e-05	2.2e-05	5.7e-05	0.000125	4.2e-05	1e-05	1e-05	5.5e-05	1e-05	1e-05	7.6e-05	4.8e-05	3.7e-05	5.8e-05	5.9e-05	4.6e-05	0.000107	1e-05	6.9e-05	5.7e-05	1e-05	1e-05	7.4e-05	1e-05	0.000101	2.9e-05	0.000118	2.7e-05	2.1e-05	0.00011	6.9e-05	0.000116	4.2e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02	2.5e-05	0.000145	0.000159	1e-05	0.000185	1.9e-05	0.000174	5.3e-05	4.5e-05	7.8e-05	0.000195	0.000101	1.4e-05	1.1e-05	0.000121	1.2e-05	1.1e-05	0.000151	0.000111	7e-05	0.000128	0.000127	0.000107	0.000176	1.3e-05	0.00014	8.1e-05	1.4e-05	1.2e-05	0.000147	1.3e-05	0.000175	5.8e-05	0.000178	5.1e-05	4.6e-05	0.000179	0.000139	0.000181	0.000102
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247	1.5e-05	1.5e-05	1.8e-05	1e-05	2.8e-05	1e-05	3.6e-05	2.6e-05	1.9e-05	2.9e-05	3.3e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.6e-05	1e-05	2.7e-05	1.1e-05	1.2e-05	1e-05	2.5e-05	1e-05	1.4e-05	3.3e-05	1e-05	1e-05	1.5e-05	1e-05	2.2e-05	2.3e-05	3.1e-05	2.3e-05	1.9e-05	2.5e-05	1.4e-05	4.4e-05	1e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47	4.9e-05	0.00079	0.000786	3e-05	0.000798	5.5e-05	0.000612	0.000108	0.000108	0.000196	0.000789	0.000641	4e-05	3.4e-05	0.000705	3.6e-05	3.2e-05	0.000804	0.000681	0.000161	0.000746	0.000734	0.000666	0.000803	3.9e-05	0.000774	0.000194	4.2e-05	3.4e-05	0.000801	3.7e-05	0.000854	0.000141	0.000715	0.000119	0.000113	0.0008	0.000766	0.000592	0.000643
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3	2.5e-05	4.4e-05	5.2e-05	1e-05	6.9e-05	1.9e-05	7.6e-05	4.3e-05	4.1e-05	5.2e-05	7.8e-05	2.8e-05	1.4e-05	1.2e-05	3.4e-05	1.2e-05	1.1e-05	4.7e-05	3.1e-05	5.3e-05	3.7e-05	3.7e-05	3e-05	6.4e-05	1.3e-05	4.2e-05	5.8e-05	1.4e-05	1.2e-05	4.5e-05	1.3e-05	6e-05	4.7e-05	7.1e-05	4.7e-05	4.1e-05	6.5e-05	4.2e-05	8.9e-05	2.8e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_180	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1.8e-05	1.2e-05	1.7e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1.5e-05	1.2e-05	1e-05	1e-05	2e-05	1e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181	3e-05	8.1e-05	9.8e-05	1e-05	0.000131	1.7e-05	0.000142	5.8e-05	4.2e-05	7.9e-05	0.00015	4.8e-05	1.3e-05	1.1e-05	6.1e-05	1.1e-05	1e-05	8.5e-05	5.4e-05	6.3e-05	6.5e-05	6.6e-05	5.2e-05	0.000123	1.2e-05	7.7e-05	8.4e-05	1.3e-05	1.1e-05	8.3e-05	1.2e-05	0.000114	5.2e-05	0.000141	5e-05	4.1e-05	0.000127	7.6e-05	0.000154	4.8e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_414	2.3e-05	0.000151	0.000167	1e-05	0.000192	1.6e-05	0.000175	4.7e-05	3.6e-05	7.2e-05	0.000201	0.000103	1.1e-05	1e-05	0.000123	1e-05	1e-05	0.000157	0.000113	5.4e-05	0.000131	0.00013	0.00011	0.000185	1.1e-05	0.000146	7.3e-05	1.2e-05	1e-05	0.000153	1.1e-05	0.000184	4.7e-05	0.000187	4.2e-05	3.8e-05	0.00019	0.000145	0.000172	0.000104
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448	1.2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1.9e-05	1.3e-05	1.8e-05	1.2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	2.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.6e-05	1.1e-05	1.6e-05	1.2e-05	1e-05	1e-05	2.1e-05	1e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_897	2.1e-05	0.000171	0.000187	1e-05	0.000228	1.1e-05	0.000204	4.6e-05	3e-05	8e-05	0.000247	0.000115	1e-05	1e-05	0.000138	1e-05	1e-05	0.000178	0.000128	5.8e-05	0.000146	0.000148	0.000123	0.000221	1e-05	0.000164	8.1e-05	1e-05	1e-05	0.000176	1e-05	0.000218	4.4e-05	0.000222	3.5e-05	3.1e-05	0.000224	0.000162	0.000213	0.000115
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.015476	0.015981	0.020946	0.003929	0.03012	0.005635	0.040016	0.023348	0.01075	0.032244	0.034395	0.010104	0.00467	0.004226	0.012481	0.004392	0.004123	0.016876	0.011087	0.018639	0.012899	0.013365	0.010774	0.027524	0.004574	0.015212	0.03288	0.00481	0.004268	0.016336	0.004462	0.023104	0.014205	0.03634	0.012559	0.010474	0.028208	0.015304	0.041623	0.010114
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.015775	0.01627	0.020968	0.004014	0.030041	0.005766	0.039504	0.023386	0.011143	0.033324	0.03362	0.010405	0.004751	0.004323	0.012939	0.004507	0.004215	0.017155	0.01135	0.019075	0.013192	0.013641	0.011018	0.026936	0.004658	0.015303	0.033628	0.004898	0.004356	0.016411	0.004569	0.02283	0.014423	0.035698	0.012789	0.010885	0.027792	0.015479	0.040343	0.010426
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.3e-05	1.7e-05	1.3e-05	1.5e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1.6e-05	1.2e-05	1e-05	1e-05	1.8e-05	1e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia|s__Aeriscardovia_aeriphila	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1.7e-05	1.2e-05	1.6e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1.5e-05	1.1e-05	1e-05	1e-05	1.9e-05	1e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1.7e-05	1.2e-05	1.6e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1.5e-05	1.2e-05	1e-05	1e-05	1.9e-05	1e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1.6e-05	1.2e-05	1.5e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1.5e-05	1.2e-05	1e-05	1e-05	1.8e-05	1e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.01525	0.01609	0.020994	0.003789	0.03035	0.005598	0.040207	0.023548	0.011063	0.032795	0.034808	0.009838	0.004571	0.004104	0.012381	0.004255	0.003974	0.016957	0.010909	0.019587	0.012784	0.013293	0.010527	0.027518	0.004442	0.015155	0.03192	0.004699	0.004136	0.016459	0.004354	0.023567	0.014336	0.035625	0.012646	0.010318	0.028253	0.015214	0.041815	0.009841
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0.002305	0.002818	0.00321	0.001981	0.003826	0.002739	0.004392	0.003264	0.00411	0.00354	0.004124	0.002066	0.002333	0.002118	0.002384	0.002209	0.002076	0.002933	0.002219	0.004586	0.002502	0.002516	0.002168	0.003648	0.002278	0.002732	0.003701	0.002386	0.002159	0.002869	0.002252	0.003485	0.004382	0.003975	0.004328	0.004011	0.003688	0.002736	0.004776	0.002069
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.001102	0.000741	0.000817	0.001269	0.001068	0.001798	0.001326	0.001514	0.002667	0.001378	0.001226	0.000532	0.001523	0.001366	0.000612	0.001435	0.001333	0.000775	0.000575	0.00249	0.000646	0.000655	0.000561	0.00099	0.001476	0.000714	0.001578	0.001556	0.001394	0.000766	0.001461	0.000929	0.002674	0.001091	0.002843	0.002687	0.000987	0.000706	0.001696	0.000532
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	0.002034	0.001571	0.001839	0.00107	0.00244	0.001558	0.003053	0.002844	0.002716	0.002859	0.002861	0.001065	0.00129	0.001161	0.001269	0.001211	0.00112	0.001642	0.001164	0.00319	0.001324	0.001349	0.001133	0.002279	0.001238	0.001517	0.003217	0.001315	0.001169	0.001611	0.001227	0.002063	0.002863	0.002662	0.003029	0.00261	0.002317	0.001508	0.003653	0.001067
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	8e-05	0.00029	0.000383	1.1e-05	0.000501	2.3e-05	0.000562	0.000166	6.9e-05	0.000286	0.000569	0.000167	1.6e-05	1.3e-05	0.000217	1.4e-05	1.2e-05	0.000306	0.000191	0.000158	0.000234	0.000238	0.000182	0.000481	1.5e-05	0.000276	0.000285	1.6e-05	1.3e-05	0.000301	1.4e-05	0.000441	0.000105	0.000565	8.4e-05	6.7e-05	0.000498	0.000278	0.000627	0.000168
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.004824	0.005221	0.006881	0.000706	0.010775	0.001163	0.014768	0.007947	0.002797	0.011645	0.012595	0.003056	0.000893	0.000782	0.003943	0.000824	0.000756	0.005571	0.003413	0.005452	0.004047	0.004205	0.003285	0.009426	0.000865	0.004892	0.011495	0.00093	0.000792	0.005309	0.000845	0.007787	0.003802	0.01289	0.003254	0.002591	0.009804	0.004906	0.01581	0.003063
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_mongoliense	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1.6e-05	1.2e-05	1.5e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1.4e-05	1.1e-05	1e-05	1e-05	1.9e-05	1e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0.004433	0.006876	0.009376	0.000203	0.015041	0.000384	0.02003	0.007911	0.001253	0.013559	0.017285	0.003949	0.000274	0.000232	0.005083	0.000245	0.00022	0.007405	0.004405	0.003681	0.005277	0.005551	0.004242	0.013161	0.000265	0.006399	0.013127	0.000288	0.000234	0.00707	0.000254	0.0107	0.002128	0.018279	0.001646	0.001217	0.013607	0.006428	0.021051	0.003944
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.3e-05	1.5e-05	1.2e-05	1.4e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1.5e-05	1.2e-05	1e-05	1e-05	1.7e-05	1e-05
