clade_name	DRR062245_y	DRR062234_y	DRR062244_x	DRR062226_x	DRR062248_x	DRR062282_x	DRR062261_y	DRR062252_y	DRR062262_x	DRR062253_y	DRR062251_y	DRR062224_y	DRR062261_x	DRR062248_y	DRR062240_x	DRR062269_x	DRR062247_y	DRR062249_y	DRR062225_x	DRR062242_x	DRR062229_y	DRR062228_x	DRR062260_y	DRR062263_x	DRR062234_x	DRR062220_x	DRR062236_y
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.019578	0.016726	0.093753	0.746549	0.012886	0.136821	0.017114	0.018394	0.017779	0.021474	0.014491	0.014056	0.016721	0.012776	0.013999	0.038889	0.025802	0.018514	0.021777	0.02258	0.015952	0.01714	0.015739	0.013939	0.017321	0.012302	0.038284
k__Bacteria|p__Firmicutes|c__Bacilli|o__Erysipelotrichales	0.056025	0.052631	0.041843	0.004015	0.046536	0.032219	0.052446	0.054347	0.052416	0.056938	0.04869	0.047596	0.052491	0.045845	0.046868	0.059329	0.059932	0.052325	0.059196	0.058423	0.05128	0.053757	0.051474	0.047862	0.052819	0.044968	0.060411
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	0.226375	0.237845	0.108255	0.017641	0.251664	0.087652	0.237614	0.232319	0.242516	0.223233	0.249296	0.25261	0.238308	0.255006	0.253313	0.183631	0.215945	0.240372	0.214282	0.226377	0.241057	0.230887	0.240243	0.250704	0.237484	0.256321	0.177709
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.137534	0.118923	0.283793	0.145694	0.099825	0.284124	0.117691	0.129521	0.116952	0.143286	0.106228	0.100592	0.121343	0.096902	0.099332	0.20878	0.159227	0.117824	0.158608	0.140229	0.115043	0.126818	0.116327	0.101467	0.120003	0.094121	0.21983
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales	0.008	0.006928	0.006175	0.001035	0.005426	0.005008	0.006918	0.00754	0.007019	0.008296	0.005942	0.005696	0.007008	0.005266	0.005585	0.008923	0.00912	0.007004	0.008693	0.008355	0.006604	0.007254	0.006672	0.005689	0.007034	0.005051	0.008871
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales	0.105112	0.103449	0.028197	0.001767	0.098256	0.019945	0.103079	0.104918	0.10583	0.10693	0.10152	0.100584	0.104001	0.098335	0.099972	0.075319	0.102337	0.105065	0.102254	0.106767	0.102608	0.102935	0.103382	0.100106	0.105028	0.097734	0.072571
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.001665	0.001712	0.000558	1.7e-05	0.001694	0.000396	0.00175	0.001724	0.00188	0.001717	0.001764	0.001766	0.001721	0.001704	0.001774	0.001271	0.001626	0.001873	0.001463	0.001703	0.001705	0.001628	0.001703	0.001724	0.001752	0.001674	0.001149
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales-Tissierellales	0.00747	0.006492	0.022246	0.009323	0.005115	0.023672	0.006538	0.007024	0.006601	0.007868	0.005566	0.005374	0.006534	0.004975	0.005304	0.013093	0.009324	0.006671	0.008446	0.008168	0.006178	0.006739	0.006206	0.005346	0.00654	0.004786	0.013673
k__Bacteria|p__Firmicutes|c__Bacilli|o__Staphylococcales	0.000871	0.000604	0.010147	0.012965	0.000339	0.013542	0.000628	0.000749	0.000648	0.001036	0.000424	0.000385	0.000624	0.000318	0.000376	0.003296	0.001491	0.000667	0.00115	0.001063	0.000544	0.000671	0.000542	0.000382	0.00064	0.00029	0.00357
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales	0.013183	0.012294	0.017284	0.016816	0.01036	0.017868	0.012503	0.012827	0.013064	0.014042	0.011148	0.010872	0.012439	0.010054	0.010884	0.016945	0.015128	0.012935	0.013558	0.014138	0.011923	0.012402	0.011831	0.010803	0.01244	0.00974	0.016953
