Sample	MSE
ERR4622722	0.00010877612259170446
ERR4622740	3.856354244953283e-05
ERR4622745	2.916095362362374e-05
ERR4622750	6.397584944811865e-05
ERR4622756	2.2910041078926765e-05
ERR4622767	2.7297095894179306e-05
ERR4622795	4.3012718829962135e-05
ERR4622823	1.9470445897310603e-05
ERR4622825	2.097910237073233e-05
ERR4622866	4.430712917732324e-05
ERR4622877	0.00018060718544152783
ERR4622881	3.30996311342298e-05
ERR4622884	3.4615662167058076e-05
ERR4622899	0.00040720455231818174
ERR4622919	3.2162946610770206e-05
ERR4622920	3.4250779995126185e-05
ERR4622941	9.230970116112368e-05
ERR4622949	4.968298824215911e-05
ERR4622950	4.8502788366489865e-05
ERR4622963	9.107847281257585e-05
ERR4622965	5.313917140131307e-05
ERR4623005	4.2411684831123746e-05
ERR4623050	5.4535404132979806e-05
ERR4623064	3.572530926904036e-05
ERR4623069	7.188300759382579e-05
ERR4623136	0.00015565446895704545
ERR4623146	3.5166236910340834e-05
ERR4623150	0.00017974858023452018
ERR4623163	8.563056148124995e-05
ERR4623170	0.00011528433566314386
ERR4623205	5.004352646743688e-05
ERR4623269	6.0751181039141355e-05
ERR4623275	6.541686665125002e-05
ERR4623300	6.720684396347221e-05
ERR4623336	5.819713874746212e-05
ERR4623360	4.0138494550972224e-05
ERR4623363	0.00012844944194454546
ERR4623392	5.726343436166668e-05
ERR4623393	6.145185189053021e-05
ERR4623425	2.5570661020366147e-05
ERR4623429	0.00010052858066987382
ERR4623430	4.6524957260353515e-05
ERR4623433	3.3488498805088354e-05
ERR4623437	0.00016175023490540397
ERR4623441	8.011602420579541e-05
ERR4623444	0.0001261639067064645
ERR4623451	0.00010281099017251259
ERR4623506	0.00023648292582462114
ERR4623508	3.011840643539139e-05
ERR4623519	6.818247966345958e-05
ERR4622731	9.543847394905301e-05
ERR4622733	0.00011133455986415405
ERR4622746	2.5154756920542906e-05
ERR4622757	2.3089204540366173e-05
ERR4622763	2.926675185516415e-05
ERR4622768	9.717605289896459e-05
ERR4622772	2.4271342108712112e-05
ERR4622783	3.102590000955804e-05
ERR4622788	4.334137982809345e-05
ERR4622801	2.436640585005051e-05
ERR4622805	4.077605951840911e-05
ERR4622827	3.223715867646466e-05
ERR4622835	0.0001648834074540152
ERR4622859	4.703913319287881e-05
ERR4622863	3.0739049805239914e-05
ERR4622869	2.876705855582068e-05
ERR4622928	2.9746524983800507e-05
ERR4622952	6.423790327030298e-05
ERR4622956	6.750183827891411e-05
ERR4622961	0.00010216973944886357
ERR4622962	0.00010383423859943179
ERR4622978	9.970168338717165e-05
ERR4622979	9.424036020953294e-05
ERR4622989	3.881650824872474e-05
ERR4622995	3.82974210328914e-05
ERR4623022	3.2255291098522744e-05
ERR4623047	2.553089894570708e-05
ERR4623051	5.863548619025256e-05
ERR4623062	4.042892017367416e-05
ERR4623086	8.503259750924241e-05
ERR4623089	7.519594781981054e-05
ERR4623091	6.52421031408964e-05
ERR4623147	3.5286723543964645e-05
ERR4623164	8.974894742856066e-05
ERR4623176	0.0005320385326283709
ERR4623191	5.9526585931022714e-05
ERR4623195	5.151127610896466e-05
ERR4623213	4.9970883951944476e-05
ERR4623251	2.767336203845956e-05
ERR4623299	7.036820966277777e-05
ERR4623303	6.625659490541665e-05
ERR4623330	4.8560661327979794e-05
ERR4623332	4.593405861521462e-05
ERR4623344	6.385016584896459e-05
ERR4623354	4.169932119438125e-05
ERR4623357	4.612271332643938e-05
ERR4623361	0.00012869029901616162
ERR4623364	0.00012770816508112374
ERR4623366	4.000075180122473e-05
ERR4623367	4.380596272092174e-05
ERR4623369	4.0495505877929266e-05
ERR4623371	5.375285764103537e-05
ERR4623385	3.873150644337123e-05
ERR4623402	2.6755079977310667e-05
ERR4623407	4.5735358193371185e-05
ERR4623431	4.844903826011362e-05
ERR4623456	0.00013973363044811872
ERR4623458	7.626568073474759e-05
ERR4623462	6.457130067395198e-05
ERR4623472	0.00011460016682295456
ERR4623503	8.784075905348483e-05
ERR4623507	2.437171017597224e-05
ERR4623511	2.492774716407829e-05
